"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Maged1.1",1.8791486519104e-17,1.61495173319264,0.222,0.047,5.34542625522433e-13,"12","Maged1","N/A"
"Slc25a46",2.19718576669177e-10,1.61366272339188,0.101,0.017,6.2501146319314e-06,"12","Slc25a46","N/A"
"Nrgn",3.44131273413713e-14,1.61241153860459,0.121,0.017,9.78915820352649e-10,"12","Nrgn","N/A"
"Nrsn1",3.91383580128708e-29,1.60954912284684,0.192,0.02,1.11332973203412e-24,"12","Nrsn1","N/A"
"Gap43.1",1.15476323143206e-25,1.59147388724128,0.288,0.054,3.28483948813165e-21,"12","Gap43","N/A"
"Gpm6a.1",4.14267975361634e-33,1.58729446449983,0.318,0.053,1.1784266827137e-28,"12","Gpm6a","N/A"
"Napg",1.24453101971559e-08,1.58536323165775,0.106,0.022,0.000354019293868298,"12","Napg","N/A"
"Ndrg3",2.21490287664733e-15,1.58456980447463,0.141,0.022,6.300512722911e-11,"12","Ndrg3","N/A"
"Atp6v1a.4",3.22758499849809e-30,1.583225612474,0.389,0.087,9.18118828672768e-26,"12","Atp6v1a","N/A"
"Smarca2",4.24843897976929e-15,1.57932866498046,0.187,0.038,1.20851095218517e-10,"12","Smarca2","N/A"
"Srpk2",2.80540303329432e-11,1.5781476492629,0.146,0.031,7.98024946850902e-07,"12","Srpk2","N/A"
"2210016L21Rik",2.88061736078275e-09,1.57318713374386,0.121,0.026,8.19420414448261e-05,"12","2210016L21Rik","N/A"
"Ndfip1.2",3.5891606272422e-28,1.56748870276753,0.343,0.072,1.02097263202532e-23,"12","Ndfip1","N/A"
"Id2",1.11584519979185e-09,1.56512226971313,0.146,0.035,3.1741332553279e-05,"12","Id2","N/A"
"Myo5a.3",1.52704874348937e-16,1.55925914331719,0.222,0.051,4.34384285572986e-12,"12","Myo5a","N/A"
"Dclk1.1",9.92455477080853e-25,1.55542328030343,0.242,0.04,2.82313885010419e-20,"12","Dclk1","N/A"
"Tmx2",9.60829555652682e-10,1.54976276923949,0.101,0.018,2.73317575400962e-05,"12","Tmx2","N/A"
"Atp2b1.1",2.94167888816803e-15,1.54691928657035,0.182,0.037,8.36789976528279e-11,"12","Atp2b1","N/A"
"Herc1",4.37206359807496e-11,1.54309679974932,0.116,0.021,1.2436772111084e-06,"12","Herc1","N/A"
"Kalrn",6.16507695024078e-13,1.5397905065823,0.131,0.023,1.75371778926549e-08,"12","Kalrn","N/A"
"Cops2",3.86655871692387e-08,1.5320446306546,0.126,0.032,0.00109988129261616,"12","Cops2","N/A"
"Got2",4.38978267073784e-13,1.52966661487885,0.126,0.021,1.24871757851809e-08,"12","Got2","N/A"
"Gabbr1",7.8273999429542e-24,1.51988059745678,0.217,0.034,2.22658218777275e-19,"12","Gabbr1","N/A"
"Rufy3",5.83220440400542e-21,1.51385300105583,0.212,0.036,1.65902886476338e-16,"12","Rufy3","N/A"
"Phactr1",6.61360759521775e-09,1.51012555533069,0.126,0.03,0.000188130681653564,"12","Phactr1","N/A"
"Nckap1",3.66320263267782e-16,1.50567033211021,0.167,0.03,1.04203462089153e-11,"12","Nckap1","N/A"
"Tceal3",7.79710186539078e-12,1.50485530844056,0.126,0.023,2.21796359662906e-07,"12","Tceal3","N/A"
"Atp6ap2",5.09409383137441e-20,1.50082931931535,0.207,0.038,1.44906593127276e-15,"12","Atp6ap2","N/A"
"Dnaja2",1.8896455596282e-14,1.48318000350985,0.167,0.033,5.37528575891837e-10,"12","Dnaja2","N/A"
"Tnik",4.55200033624087e-10,1.48198771106934,0.106,0.019,1.29486201564708e-05,"12","Tnik","N/A"
"Ppp3r1",3.69146105996483e-15,1.4743255585153,0.141,0.023,1.0500730131176e-10,"12","Ppp3r1","N/A"
"Tubb2a.3",3.97497269978027e-29,1.46244828637773,0.343,0.072,1.1307207341795e-24,"12","Tubb2a","N/A"
"Arl4c.2",1.67487963892766e-10,1.45483662340597,0.157,0.039,4.76436262089363e-06,"12","Arl4c","N/A"
"Slc8a1",1.6312070445606e-09,1.45196630012035,0.116,0.024,4.64013155895708e-05,"12","Slc8a1","N/A"
"Kif1a",3.42665662223665e-20,1.45187720611924,0.222,0.042,9.74746742761438e-16,"12","Kif1a","N/A"
"Nrcam",5.41381230949941e-09,1.43730060112984,0.106,0.022,0.00015400130495602,"12","Nrcam","N/A"
"G3bp2.1",2.34723004801291e-15,1.43111718909178,0.197,0.043,6.67693059457753e-11,"12","G3bp2","N/A"
"Klf9",1.31001806663046e-14,1.43101626287784,0.172,0.036,3.72647739233701e-10,"12","Klf9","N/A"
"Ctnna2",3.43701903099397e-11,1.42931877747361,0.116,0.02,9.77694433556543e-07,"12","Ctnna2","N/A"
"Rtn3.1",4.95157483383628e-24,1.42671224100105,0.308,0.071,1.40852497723307e-19,"12","Rtn3","N/A"
"Klc1.2",1.48132313640177e-30,1.42115375662967,0.328,0.063,4.21377179380846e-26,"12","Klc1","N/A"
"Aplp2.3",1.70498959700388e-16,1.41441538926495,0.247,0.063,4.85001340763723e-12,"12","Aplp2","N/A"
"Rock2",1.09710856802364e-11,1.4031961505537,0.152,0.035,3.12083503260004e-07,"12","Rock2","N/A"
"Eif4g3",1.57559419952155e-08,1.3963090223859,0.126,0.031,0.000448193525995899,"12","Eif4g3","N/A"
"Dnm3",9.26125440713642e-10,1.39531962179012,0.121,0.026,2.63445642865403e-05,"12","Dnm3","N/A"
"Tcf25.1",2.11954740331185e-20,1.38517608792921,0.273,0.064,6.02926454346088e-16,"12","Tcf25","N/A"
"Pfkp",1.6408996007434e-13,1.38516745083834,0.162,0.034,4.66770300427467e-09,"12","Pfkp","N/A"
"Enc1",3.60407219431652e-10,1.37799360720758,0.111,0.02,1.02521437639528e-05,"12","Enc1","N/A"
"Rnf11",2.23347357220621e-17,1.3723983433246,0.167,0.028,6.35333892349778e-13,"12","Rnf11","N/A"
"Dnm1l",7.53092815307217e-09,1.37081221866263,0.101,0.021,0.000214224782242291,"12","Dnm1l","N/A"
"Actr1b",1.57052553130065e-09,1.36960555696132,0.106,0.021,4.46751692633782e-05,"12","Actr1b","N/A"
"Gdi1.1",2.71420023333141e-17,1.36867992362985,0.253,0.061,7.72081398373453e-13,"12","Gdi1","N/A"
"Uchl5",2.35380781623628e-09,1.36576938861164,0.101,0.019,6.69564171406572e-05,"12","Uchl5","N/A"
"Adprh",6.12439348878045e-09,1.36410047601785,0.106,0.023,0.000174214497181849,"12","Adprh","N/A"
"Enpp5",5.96304457911368e-12,1.36323037834652,0.116,0.021,1.69624766097468e-07,"12","Enpp5","N/A"
"Oip5os1",7.00689594621873e-15,1.36116238714261,0.162,0.032,1.99318162086138e-10,"12","Oip5os1","N/A"
"Apc",1.06365903788474e-06,1.3599346352753,0.111,0.031,0.0302568449916692,"12","Apc","N/A"
"Hdac11",4.31172062041647e-10,1.35535974825958,0.121,0.026,1.22651204768367e-05,"12","Hdac11","N/A"
"Rsf1",5.31111869157884e-09,1.35030419612714,0.111,0.023,0.000151080082300652,"12","Rsf1","N/A"
"Zfp365",3.40504433033883e-12,1.33679766704615,0.136,0.027,9.68598910208185e-08,"12","Zfp365","N/A"
"Yjefn3",4.01381578386553e-10,1.3301803650792,0.116,0.023,1.14177003787839e-05,"12","Yjefn3","N/A"
"Hsph1",1.83570244174786e-11,1.32963756757216,0.126,0.026,5.22183916579597e-07,"12","Hsph1","N/A"
"Cmas",4.48076480305127e-10,1.32794133380724,0.116,0.024,1.27459835587596e-05,"12","Cmas","N/A"
"Map1lc3a",3.19670131202515e-15,1.3266841809076,0.177,0.036,9.09333655218674e-11,"12","Map1lc3a","N/A"
"Tubb3.1",5.01404553729448e-15,1.32416388461769,0.187,0.04,1.42629539353879e-10,"12","Tubb3","N/A"
"Vdac1.4",8.61399195791883e-22,1.32265767315481,0.288,0.068,2.45033615234959e-17,"12","Vdac1","N/A"
"Calm2.11",7.862980526518e-43,1.31118972554618,0.657,0.198,2.23670344057331e-38,"12","Calm2","N/A"
"Cd47",3.45787265506495e-07,1.31062436272745,0.126,0.036,0.00983626455459775,"12","Cd47","N/A"
"Ogfrl1",1.52846127200414e-10,1.30999470315868,0.136,0.031,4.34786093434299e-06,"12","Ogfrl1","N/A"
"Wdr82",1.9706474473679e-09,1.30371716999373,0.101,0.02,5.60570372878272e-05,"12","Wdr82","N/A"
"Ociad1.3",1.70488883678863e-16,1.29868396794245,0.247,0.064,4.84972678512894e-12,"12","Ociad1","N/A"
"A530072M11Rik",1.18775967421459e-08,1.28932198042685,0.101,0.021,0.000337870116927082,"12","A530072M11Rik","N/A"
"Tsnax",4.33334036352218e-11,1.28579096605722,0.111,0.021,1.23266199980752e-06,"12","Tsnax","N/A"
"Ppp3cb",2.80237908338853e-11,1.28401576580966,0.126,0.025,7.97164754060701e-07,"12","Ppp3cb","N/A"
"Ctnnd2",1.81291155140631e-16,1.27289047081131,0.152,0.024,5.15700819913039e-12,"12","Ctnnd2","N/A"
"Trappc4",4.92629226814077e-08,1.26538822581801,0.101,0.023,0.00140133309859532,"12","Trappc4","N/A"
"Bex3",6.33075776632635e-16,1.2649119842594,0.187,0.039,1.80084735420919e-11,"12","Bex3","N/A"
"Cyc1",2.51410587102606e-09,1.26072928201395,0.146,0.038,7.15162556072073e-05,"12","Cyc1","N/A"
"Ndufa4.4",1.41180175936107e-30,1.25972788720881,0.379,0.087,4.0160112846785e-26,"12","Ndufa4","N/A"
"Ppm1a",2.98578355419608e-13,1.25686313996377,0.146,0.03,8.49335989826616e-09,"12","Ppm1a","N/A"
"Idh3a",3.2590594389631e-15,1.25278845359886,0.121,0.019,9.27072048007445e-11,"12","Idh3a","N/A"
"Tomm70a",1.06895375980836e-09,1.25109196763925,0.106,0.021,3.04074586515085e-05,"12","Tomm70a","N/A"
"Tspan5",2.76029951458404e-11,1.23984214446025,0.111,0.02,7.85194799918575e-07,"12","Tspan5","N/A"
"Pcp4.10",1.01450762880808e-15,1.23802938795519,0.308,0.097,2.88586840090746e-11,"12","Pcp4","N/A"
"Rcan2.1",7.69880237478412e-22,1.23602382145863,0.217,0.041,2.19000132353109e-17,"12","Rcan2","N/A"
"Pfn2.1",6.55402225903368e-27,1.23377968427204,0.288,0.059,1.86435717180472e-22,"12","Pfn2","N/A"
"Eif4a2.3",6.80395151966096e-23,1.23236061693352,0.298,0.071,1.93545204928276e-18,"12","Eif4a2","N/A"
"Sar1b",3.04625720714286e-10,1.22589782639231,0.126,0.03,8.66538325143857e-06,"12","Sar1b","N/A"
"Pip5k1c",4.28388914612567e-09,1.21328235482798,0.101,0.021,0.000121859510650691,"12","Pip5k1c","N/A"
"Etnk1",7.94258370600311e-12,1.21297442209349,0.146,0.034,2.25934736100964e-07,"12","Etnk1","N/A"
"Chchd10",2.09597452013936e-15,1.20577296936368,0.136,0.023,5.96220911998844e-11,"12","Chchd10","N/A"
"Calm1.10",2.35655049825086e-44,1.2000993885797,0.788,0.298,6.70344354732441e-40,"12","Calm1","N/A"
"Ube3a",2.27862089002219e-08,1.19176752871945,0.111,0.027,0.000648176498375711,"12","Ube3a","N/A"
"Hprt.1",1.75919662451574e-16,1.18106853632228,0.197,0.044,5.00421071809748e-12,"12","Hprt","N/A"
"Fabp3",1.64282074088189e-11,1.17833161502527,0.141,0.031,4.67316787951263e-07,"12","Fabp3","N/A"
"Gsk3b",1.56948569329163e-09,1.1745324271572,0.136,0.034,4.46455900313736e-05,"12","Gsk3b","N/A"
"Rad23b",1.77703021572765e-11,1.16945734049585,0.152,0.037,5.05494015165888e-07,"12","Rad23b","N/A"
"Smap1",1.35608702079206e-08,1.16829941538829,0.101,0.023,0.000385752513934509,"12","Smap1","N/A"
"Polr2m",1.67704902207655e-07,1.16238809335556,0.106,0.025,0.00477053364819895,"12","Polr2m","N/A"
"Saraf.1",1.0664819397237e-11,1.16206065743864,0.202,0.06,3.03371452573803e-07,"12","Saraf","N/A"
"Hsp90aa1.11",2.84833386254269e-24,1.15550097589762,0.399,0.117,8.10237050538894e-20,"12","Hsp90aa1","N/A"
"Sod2",3.16564365968023e-11,1.14598583852237,0.126,0.027,9.00498995432638e-07,"12","Sod2","N/A"
"Auh",4.6429021928553e-11,1.14014062140075,0.106,0.019,1.32071995777962e-06,"12","Auh","N/A"
"Cct6a.1",4.26542570442189e-10,1.13298009223373,0.172,0.051,1.21334299587985e-05,"12","Cct6a","N/A"
"Dcaf7",2.57811317873094e-08,1.1253676443155,0.101,0.023,0.000733370074821803,"12","Dcaf7","N/A"
"Fkbp3",1.39741319106703e-26,1.12312528455539,0.283,0.057,3.97508156330927e-22,"12","Fkbp3","N/A"
"Arhgef12",2.15073356662133e-07,1.12147069128649,0.111,0.031,0.00611797670361105,"12","Arhgef12","N/A"
"Nme1.3",1.5305788980222e-15,1.10400263684748,0.237,0.065,4.35388473331394e-11,"12","Nme1","N/A"
"Ptprd.2",3.89844040723948e-07,1.1035274955223,0.192,0.081,0.0110895035824334,"12","Ptprd","N/A"
"Mdh2.2",2.28004948137658e-14,1.09578025893097,0.237,0.067,6.48582875472383e-10,"12","Mdh2","N/A"
"Abr",6.69947102895067e-09,1.09413776070058,0.126,0.032,0.000190573152889531,"12","Abr","N/A"
"Fbxl16",6.05153332702632e-23,1.09212166708441,0.157,0.02,1.72141917020591e-18,"12","Fbxl16","N/A"
"Tcf4.11",2.2735258868199e-23,1.08785614070122,0.429,0.137,6.4672717376479e-19,"12","Tcf4","N/A"
"Sars.1",2.79106716553351e-09,1.08360302956905,0.152,0.043,7.93946965907661e-05,"12","Sars","N/A"
"Nfib",1.14764258611401e-06,1.08346517080709,0.116,0.035,0.0326458410045991,"12","Nfib","N/A"
"Snx10",3.60461706944193e-10,1.08324415531266,0.121,0.028,1.02536937157345e-05,"12","Snx10","N/A"
"Ywhab.9",8.83055488595448e-27,1.08096748903409,0.374,0.1,2.51193964285861e-22,"12","Ywhab","N/A"
"Ppp2r5c",8.99545150363301e-11,1.07827115810178,0.167,0.046,2.55884613472345e-06,"12","Ppp2r5c","N/A"
"Rheb",1.50474424449168e-11,1.07661124266356,0.141,0.032,4.28039547788103e-07,"12","Rheb","N/A"
"Vdac3",1.32598792128083e-11,1.06775819959769,0.177,0.047,3.77190524087545e-07,"12","Vdac3","N/A"
"Oga",2.35630831469859e-07,1.05998963285058,0.126,0.038,0.00670275463199161,"12","Oga","N/A"
"Tspan3.3",2.71084627792979e-15,1.05454848554488,0.278,0.087,7.71127332219907e-11,"12","Tspan3","N/A"
"Ube2b",1.81883843608509e-10,1.04516271242182,0.172,0.049,5.17386781528765e-06,"12","Ube2b","N/A"
"Chp1",4.16960275532152e-07,1.04490019008082,0.121,0.035,0.0118608519977876,"12","Chp1","N/A"
"Ash1l",5.65925423984472e-10,1.04185629496866,0.111,0.025,1.60983146106623e-05,"12","Ash1l","N/A"
"Acot7.1",6.71213613193115e-15,1.04067833267629,0.197,0.05,1.90933424408913e-10,"12","Acot7","N/A"
"Ppp3ca.10",1.29005137243665e-19,1.03939246205979,0.333,0.098,3.66968013403328e-15,"12","Ppp3ca","N/A"
"Pitpna.2",2.57073337068502e-11,1.03623009384558,0.202,0.062,7.3127081462506e-07,"12","Pitpna","N/A"
"Nrxn2",1.99629421686786e-10,1.02810234961433,0.106,0.023,5.67865852930231e-06,"12","Nrxn2","N/A"
"Enah",1.37340105170189e-06,1.01821795188136,0.101,0.027,0.0390677663167118,"12","Enah","N/A"
"Hsd17b12",3.83812992024555e-07,1.01535897700266,0.106,0.031,0.0109179443711305,"12","Hsd17b12","N/A"
"Dynll2.11",1.48622635019138e-26,1.01180813541579,0.424,0.127,4.22771947575439e-22,"12","Dynll2","N/A"
"Nedd4.2",6.07510842272817e-10,1.01112706193707,0.182,0.056,1.72812534192926e-05,"12","Nedd4","N/A"
"Dnajc5",1.50207004772112e-06,1.00439309551933,0.121,0.038,0.0427278845774751,"12","Dnajc5","N/A"
"Rnf187.2",2.82062637540056e-16,1.00227060686269,0.222,0.057,8.02355378746445e-12,"12","Rnf187","N/A"
"Cycs",2.8829024121039e-11,1.00053058855674,0.136,0.032,8.20070420147075e-07,"12","Cycs","N/A"
"Camk2a",5.74415858855747e-20,0.994603886390836,0.146,0.019,1.63398335210106e-15,"12","Camk2a","N/A"
"Atp5a1.9",7.42904159180836e-20,0.990773088011142,0.369,0.117,2.11326517120581e-15,"12","Atp5a1","N/A"
"Dnajb6",2.1189661322463e-08,0.990173512631761,0.131,0.036,0.000602761105978782,"12","Dnajb6","N/A"
"Uqcrc2.2",4.05918813748916e-14,0.987924661229174,0.202,0.053,1.15467665759017e-09,"12","Uqcrc2","N/A"
"Cacybp",1.04014666048466e-09,0.985555261558062,0.136,0.035,2.95880119041467e-05,"12","Cacybp","N/A"
"Atp5g3.5",3.33636720461853e-25,0.982735687983016,0.343,0.092,9.49063015025788e-21,"12","Atp5g3","N/A"
"Zfand5",6.74441205091115e-08,0.980475896834437,0.136,0.04,0.00191851545200218,"12","Zfand5","N/A"
"Pdhb",6.99939653595922e-09,0.978812900607968,0.126,0.033,0.000199104833861896,"12","Pdhb","N/A"
"Ntrk2.3",6.11053128842902e-15,0.978575261767126,0.268,0.084,1.73820173030652e-10,"12","Ntrk2","N/A"
"Atp6v0e2",9.25552539372794e-13,0.971008213483568,0.152,0.035,2.63282675349985e-08,"12","Atp6v0e2","N/A"
"Zmynd11",9.17999888738298e-10,0.968861544621203,0.146,0.039,2.61134248350496e-05,"12","Zmynd11","N/A"
"Dnaja1.1",6.34783865070477e-09,0.965578085359901,0.152,0.045,0.000180570618257948,"12","Dnaja1","N/A"
"Pdha1",7.16216571954317e-13,0.965395547571475,0.167,0.042,2.03734966058125e-08,"12","Pdha1","N/A"
"Kidins220",1.2392845058777e-06,0.965155951594796,0.106,0.03,0.035252687054197,"12","Kidins220","N/A"
"Idh3b",6.30789304120147e-16,0.964215153678031,0.192,0.046,1.79434325450017e-11,"12","Idh3b","N/A"
"Smim10l1",2.2114299437497e-08,0.96399100213485,0.116,0.032,0.000629063361799041,"12","Smim10l1","N/A"
"Trim2.2",3.86174129346591e-15,0.95883465388063,0.222,0.06,1.09851092833931e-10,"12","Trim2","N/A"
"Ldhb.10",6.48745757018141e-21,0.956268606204365,0.399,0.132,1.8454221804138e-16,"12","Ldhb","N/A"
"Hspa9",1.72856078887897e-10,0.951943568941506,0.202,0.065,4.91706402004511e-06,"12","Hspa9","N/A"
"Rab18",5.27852666437021e-08,0.947071091555355,0.116,0.033,0.00150152969494675,"12","Rab18","N/A"
"Sparcl1.10",9.30277291729084e-34,0.946948055087121,0.49,0.142,2.64626678405255e-29,"12","Sparcl1","N/A"
"Mgst3",8.81184758773439e-15,0.932085549621421,0.111,0.017,2.50661816480693e-10,"12","Mgst3","N/A"
"Kif21a",1.54034933574159e-12,0.92455552956464,0.141,0.033,4.38167772045052e-08,"12","Kif21a","N/A"
"Gnao1.2",1.63296686580263e-10,0.922554229088221,0.177,0.054,4.64513754646217e-06,"12","Gnao1","N/A"
"Ubqln2",1.47390159343531e-08,0.918440329058383,0.111,0.028,0.000419266047268607,"12","Ubqln2","N/A"
"Rraga",5.7831599438934e-11,0.916364629754622,0.131,0.031,1.64507767763992e-06,"12","Rraga","N/A"
"Ndufb5",9.27331961471031e-08,0.916034053772047,0.131,0.041,0.0026378884976005,"12","Ndufb5","N/A"
"Tspyl1",1.40188967757776e-11,0.91193611628102,0.106,0.02,3.98781537683769e-07,"12","Tspyl1","N/A"
"Ywhah.10",3.46341788925691e-18,0.903770229416005,0.318,0.102,9.85203852778021e-14,"12","Ywhah","N/A"
"Cct7",1.51736386800761e-06,0.901923441564191,0.141,0.05,0.0431629325893445,"12","Cct7","N/A"
"Pafah1b2",7.76798986498334e-10,0.899109896666146,0.126,0.032,2.20968239699316e-05,"12","Pafah1b2","N/A"
"Ppp2r1a",1.14060613121435e-10,0.896813959453075,0.136,0.035,3.24456820085234e-06,"12","Ppp2r1a","N/A"
"Cct8.1",4.5485179646655e-09,0.893815467452568,0.157,0.048,0.000129387142022875,"12","Cct8","N/A"
"Gars",2.8159030257803e-08,0.89075100678743,0.101,0.024,0.000801011774713464,"12","Gars","N/A"
"Celf2.1",6.85753772353797e-11,0.888663380180875,0.177,0.052,1.95069518083761e-06,"12","Celf2","N/A"
"Cltc.2",1.1497980630831e-06,0.88146510981207,0.187,0.074,0.0327071557024618,"12","Cltc","N/A"
"Pcmt1",3.83404633553452e-13,0.867308260296707,0.136,0.031,1.09063282060615e-08,"12","Pcmt1","N/A"
"Mtch1.2",9.67886567566968e-17,0.862303948695357,0.222,0.057,2.753250130101e-12,"12","Mtch1","N/A"
"Cisd1",4.48850581763485e-07,0.862116299318187,0.106,0.029,0.0127680036488441,"12","Cisd1","N/A"
"Ywhaz.10",9.57827040493503e-18,0.860537487322926,0.343,0.116,2.72463479938782e-13,"12","Ywhaz","N/A"
"Cox5a",2.14193110799328e-11,0.85838917172227,0.182,0.051,6.09293722979767e-07,"12","Cox5a","N/A"
"Nars.1",3.10907374588471e-08,0.854964071389819,0.152,0.051,0.000884407117754364,"12","Nars","N/A"
"Ankrd12",7.6475193165773e-12,0.853792879576421,0.167,0.044,2.17541334479358e-07,"12","Ankrd12","N/A"
"Psip1.1",3.04977961223988e-11,0.853016203993032,0.177,0.052,8.67540308497756e-07,"12","Psip1","N/A"
"Cfap36.1",2.03538558849312e-07,0.852143445658824,0.141,0.047,0.00578985784502752,"12","Cfap36","N/A"
"Ppig.3",1.03980208369055e-08,0.850002474030662,0.172,0.058,0.000295782100726613,"12","Ppig","N/A"
"Atp5b.9",3.80635145265085e-22,0.846126610547284,0.389,0.126,1.08275473422106e-17,"12","Atp5b","N/A"
"Slc25a4.10",2.05077018621799e-28,0.843598961527219,0.535,0.19,5.83362087171569e-24,"12","Slc25a4","N/A"
"Timm17a",3.86798559167403e-07,0.842621428271661,0.111,0.031,0.011002871814076,"12","Timm17a","N/A"
"Ppm1b",3.4803297727225e-09,0.841530925863916,0.111,0.026,9.90014607148642e-05,"12","Ppm1b","N/A"
"Spag9",5.88018733165629e-09,0.841167732830468,0.141,0.04,0.000167267808836295,"12","Spag9","N/A"
"Ndufs7",3.72286723984485e-08,0.836443509645599,0.126,0.036,0.00105900681504627,"12","Ndufs7","N/A"
"Zranb2",1.46098995376939e-09,0.833751827744468,0.126,0.033,4.15593202249239e-05,"12","Zranb2","N/A"
"Caprin1",6.86839395725055e-08,0.831820840058951,0.126,0.038,0.00195378334507949,"12","Caprin1","N/A"
"Fam168b.1",9.35595174340158e-07,0.828655831365308,0.141,0.048,0.0266139403292801,"12","Fam168b","N/A"
"Ndufs3",7.81618490933008e-09,0.825766994731399,0.121,0.032,0.000222339195930804,"12","Ndufs3","N/A"
"Dtna",5.33871012193787e-09,0.824710033352123,0.121,0.033,0.000151864948128645,"12","Dtna","N/A"
"Ndufb2",1.40350460880934e-08,0.823629050719552,0.126,0.035,0.000399240921021905,"12","Ndufb2","N/A"
"Ank2.2",1.05904942548204e-08,0.823221215569801,0.172,0.059,0.000301257199572622,"12","Ank2","N/A"
"Elavl3.2",5.52872956009086e-09,0.81715163623528,0.121,0.034,0.000157270241066345,"12","Elavl3","N/A"
"Reep5.1",3.11522743677876e-08,0.815758136075884,0.146,0.046,0.000886157596666086,"12","Reep5","N/A"
"Atp6ap1.1",1.37726963019144e-08,0.815569900857018,0.162,0.055,0.000391778119004258,"12","Atp6ap1","N/A"
"Atp5g1.2",1.33730255545419e-08,0.815424854456935,0.172,0.057,0.0003804090849245,"12","Atp5g1","N/A"
"Sdha.3",2.42177888484369e-13,0.815347535190628,0.212,0.066,6.88899221582636e-09,"12","Sdha","N/A"
"Purb.2",1.45387050743211e-14,0.808190168261749,0.222,0.062,4.13568004544139e-10,"12","Purb","N/A"
"Pin1",1.01350281112984e-07,0.802258144772672,0.111,0.031,0.00288301009653995,"12","Pin1","N/A"
"Cdip1",3.25735490348524e-10,0.801854404969537,0.131,0.034,9.26587175845412e-06,"12","Cdip1","N/A"
"Tax1bp1.1",8.9829417012928e-11,0.799930604655493,0.167,0.05,2.55528759634975e-06,"12","Tax1bp1","N/A"
"Acat1",1.68805491632921e-06,0.797043264942667,0.101,0.03,0.0480184101499007,"12","Acat1","N/A"
"Ndufa10",3.76620393038425e-11,0.790898536290624,0.162,0.046,1.07133437003711e-06,"12","Ndufa10","N/A"
"Atp5pb.9",1.03392133450716e-15,0.789529420721614,0.338,0.126,2.94109262813907e-11,"12","Atp5pb","N/A"
"Npepps",5.03861576224129e-09,0.786557698301127,0.146,0.044,0.000143328463972716,"12","Npepps","N/A"
"Tafa5",9.13098679925929e-08,0.785648249982294,0.121,0.036,0.0025974005049173,"12","Tafa5","N/A"
"Morf4l2.1",7.09761268446917e-07,0.772621303311388,0.126,0.04,0.020189869042241,"12","Morf4l2","N/A"
"Pak1.2",2.69796078436609e-11,0.770102060476016,0.167,0.048,7.67461924720778e-07,"12","Pak1","N/A"
"Ppp2r2c.1",2.07912359111276e-16,0.767614863730138,0.207,0.051,5.91427496727935e-12,"12","Ppp2r2c","N/A"
"Cox7b.3",1.07250942397956e-19,0.765303996196947,0.273,0.075,3.05086030745226e-15,"12","Cox7b","N/A"
"Olfm1.1",9.504212529892e-28,0.764807017792819,0.318,0.072,2.70356829625308e-23,"12","Olfm1","N/A"
"Psmd14",1.17107562096257e-07,0.763104360880748,0.116,0.033,0.00333124171139012,"12","Psmd14","N/A"
"Ghitm.5",5.96478772993795e-18,0.757601699491966,0.273,0.078,1.69674351765815e-13,"12","Ghitm","N/A"
"Matr3.2",1.21069435836479e-14,0.757371741890367,0.232,0.068,3.44394117180448e-10,"12","Matr3","N/A"
"Syt11.11",8.53413637921662e-18,0.752263927252571,0.313,0.109,2.42762043443196e-13,"12","Syt11","N/A"
"Pcsk1n",1.9454428105094e-18,0.7467339321784,0.197,0.044,5.53400661877505e-14,"12","Pcsk1n","N/A"
"Psmd12",3.6187512477117e-08,0.725680536003628,0.126,0.039,0.00102938997992407,"12","Psmd12","N/A"
"Inpp5f",7.74913402212093e-09,0.722829862818265,0.106,0.025,0.000220431866393252,"12","Inpp5f","N/A"
"Map1a.2",1.39775838913469e-12,0.717176530518737,0.207,0.065,3.97606351373255e-08,"12","Map1a","N/A"
"Myl12b.1",4.43256203466312e-08,0.711558069121019,0.146,0.047,0.00126088659638027,"12","Myl12b","N/A"
"Srp9",9.79922173156959e-07,0.709081655465326,0.111,0.034,0.0278748661376229,"12","Srp9","N/A"
"Mef2c.3",2.18624164399583e-09,0.702487550514051,0.192,0.069,6.21898298051055e-05,"12","Mef2c","N/A"
"Atp5md.11",4.91410686111648e-13,0.693728332673687,0.273,0.096,1.3978668377132e-08,"12","Atp5md","N/A"
"Phyhipl.2",1.12214678551699e-09,0.692317738608559,0.157,0.048,3.19205874608163e-05,"12","Phyhipl","N/A"
"Ssb.1",1.35734688529416e-09,0.688258518348443,0.192,0.072,3.86110894990777e-05,"12","Ssb","N/A"
"Itm2c.8",3.27302857873383e-14,0.685018833125324,0.318,0.123,9.31045709506625e-10,"12","Itm2c","N/A"
"Tagln3.2",1.18297838443624e-19,0.68219305437351,0.273,0.078,3.36510031236733e-15,"12","Tagln3","N/A"
"App.12",2.10464138738562e-19,0.681426896058433,0.389,0.143,5.98686289055714e-15,"12","App","N/A"
"Psmc1",2.71063238461433e-08,0.68094184423835,0.121,0.035,0.000771066488127394,"12","Psmc1","N/A"
"Sub1.7",1.5062084309228e-12,0.676106729061912,0.273,0.099,4.28456050260299e-08,"12","Sub1","N/A"
"Slc22a17.1",2.76018369100264e-09,0.673632828416389,0.136,0.041,7.85161852742611e-05,"12","Slc22a17","N/A"
