"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Rbfox3",6.39252920137553e-25,3.11083965858609,0.121,0.005,1.81841885662328e-20,"12","Rbfox3","Interneuron Marker"
"Faim2",1.76719605593084e-23,3.10771464643209,0.116,0.005,5.02696590070086e-19,"12","Faim2","N/A"
"Micu3",5.04302167669517e-25,3.09116783405408,0.152,0.01,1.43453794615271e-20,"12","Micu3","N/A"
"Peg3",1.30932767475559e-27,3.0881317481173,0.162,0.01,3.72451350360974e-23,"12","Peg3","N/A"
"Dner",1.36803868504132e-22,3.08754791804676,0.152,0.012,3.89152284346854e-18,"12","Dner","N/A"
"Ckmt1",7.33295890632027e-31,3.08152474363007,0.146,0.006,2.08593349049186e-26,"12","Ckmt1","N/A"
"Ptprn",6.09819346238177e-23,3.08063038748671,0.126,0.007,1.73469211230912e-18,"12","Ptprn","N/A"
"Plcb1",4.51811769224581e-16,3.04748278189681,0.126,0.013,1.28522375873624e-11,"12","Plcb1","N/A"
"Stmn2",3.49713566207946e-40,3.01992983246938,0.242,0.016,9.94795210435122e-36,"12","Stmn2","N/A"
"Gria3",1.45532589199803e-17,3.01431643932502,0.101,0.006,4.13982003237758e-13,"12","Gria3","N/A"
"Fut9",6.20866130597814e-19,3.0015770032878,0.106,0.006,1.76611579509854e-14,"12","Fut9","N/A"
"Reps2",3.59479284110764e-21,2.99549971910863,0.111,0.006,1.02257477158148e-16,"12","Reps2","N/A"
"Kcnma1",3.18960341164801e-16,2.97803489683062,0.126,0.013,9.07314586477394e-12,"12","Kcnma1","N/A"
"Cadps",1.69761709120412e-31,2.97674284926868,0.187,0.013,4.82904157763923e-27,"12","Cadps","N/A"
"Cdk5r1",2.41962163007323e-27,2.9553706294094,0.152,0.009,6.88285568890631e-23,"12","Cdk5r1","N/A"
"Cbarp",3.34313044183944e-21,2.94787318458866,0.106,0.005,9.50986885485647e-17,"12","Cbarp","N/A"
"Nat8l",1.23637231944929e-26,2.94307064654073,0.157,0.01,3.51698469990546e-22,"12","Nat8l","N/A"
"Stmn3",4.74535120075906e-74,2.93473849893552,0.444,0.033,1.34986260256792e-69,"12","Stmn3","N/A"
"Gabbr2",6.23629117086139e-21,2.93167514826354,0.101,0.004,1.77397538646323e-16,"12","Gabbr2","N/A"
"Scn8a",2.15010774437216e-23,2.91754982549288,0.121,0.006,6.11619648964105e-19,"12","Scn8a","N/A"
"Atxn1",1.30408274896837e-14,2.905045986025,0.106,0.009,3.70959378771544e-10,"12","Atxn1","N/A"
"Snap25.1",1.59763683898342e-105,2.86781439859392,0.667,0.062,4.54463775217223e-101,"12","Snap25","N/A"
"Dnm1",1.57677386706951e-45,2.84982820718802,0.258,0.015,4.48529094226591e-41,"12","Dnm1","N/A"
